"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1628","UK Roadkill Records","doi:10.15468/r3xakd","The Road Lab ([Insert download year]). UK Roadkill Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1628","Project Splatter has been actively collecting roadkill records since the beginning of 2013, but some records may fall before this. Records before 2013 will only be sporadic records, however. The majority of records have an exact date of that the animal was found on (DD/MM/YYYY). Some records, however, do not have a date associated with the record. In these instances, the cell is left blank.","Additional information about the Project, and links to social media pages, can be found at https://www.theroadlab.co.uk. Project Splatter is also available to answer any questions about the database.","","68217"
"dp205","The Road Lab UK","","Records provided by The Road Lab UK, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp205","","","","68217"
