nbn_atlas_record_id,occurrence_id,licence,rightsholder,scientific_name,taxon_author,name_qualifier,common_name,species_id_tvk,taxon_rank,occurrence_status,start_date,start_date_day,start_date_month,start_date_year,end_date,end_date_day,end_date_month,end_date_year,locality,osgr,coordinate_uncertainty_m,verbatim_depth,recorder,determiner,individual_count,abundance,abundance_scale,organism_scope,organism_remarks,sex,life_stage,occurrence_remarks,identification_verification_status,basis_of_record,survey_key,dataset_name,dataset_id,data_provider,data_provider_id,institution_code,kingdom,phylum,class,order,family,genus,osgr_100km,osgr_10km,osgr_2km,osgr_1km,country,state_province,vitality,lep14cd,lep14nm,longitude_wgs84,latitude_wgs84
f896280e-74aa-4348-9d68-c2cc4c5af108,78323,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-06-28,28,06,2020,,,,,,ST7233188674,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST78,ST78J,ST7288,United Kingdom,England,dead,E37000037,West of England,-2.400842,51.596226
e7df355d-da00-408a-ab78-bcfc196efbca,90790,CC-BY-NC,The Road Lab,Phasianus colchicus,"Linnaeus, 1758",,Pheasant,NHMSYS0000530559,species,present,2020-04-24,24,04,2020,,,,,,ST7799584347,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,ST,ST78,ST78S,ST7784,United Kingdom,England,dead,E37000037,West of England,-2.318802,51.557572
e61dacda-263c-42f2-9c74-74d7682a157d,37506,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-04-13,13,04,2020,,,,,,ST7480062200,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST76,ST76L,ST7462,United Kingdom,England,dead,E37000037,West of England,-2.3633010000000003,51.358306
e56a2503-500b-44a2-b574-4998e0fa1757,90596,CC-BY-NC,The Road Lab,Cygnus,"Garsault, 1764",,Swan,NHMSYS0021277784,genus,present,2020-04-15,15,04,2020,,,,,,ST3902264916,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,ST,ST36,ST36X,ST3964,United Kingdom,England,dead,E37000037,West of England,-2.877555,51.380004
e21a6e8b-aae1-4590-9cbf-f722a8396ee5,25418,CC-BY-NC,The Road Lab,Oryctolagus cuniculus,"(Linnaeus, 1758)",,European Rabbit,NHMSYS0000080219,species,present,2020-04-21,21,04,2020,,,,,,ST6118184836,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,ST,ST68,ST68C,ST6184,United Kingdom,England,dead,E37000037,West of England,-2.561377,51.561057999999996
eaa043b6-519e-4bb0-a74a-5c7ae6f48024,28925,CC-BY-NC,The Road Lab,Sciurus carolinensis,"Gmelin, 1788",,Eastern Grey Squirrel,NHMSYS0000332764,species,present,2020-06-08,08,06,2020,,,,,,ST7238465338,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,ST,ST76,ST76H,ST7265,United Kingdom,England,dead,E37000037,West of England,-2.3982430000000003,51.386408
e005f1f0-d2ed-4cc1-9099-6d099f1e48f7,59471,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-04-13,13,04,2020,,,,,,ST7077,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST77,ST77D,ST7077,United Kingdom,England,dead,E37000037,West of England,-2.42,51.5
dfb3b9af-ec3d-4f79-9614-b7f5fb40b74e,27000,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-04-02,02,04,2020,,,,,,ST3762,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST36,ST36R,ST3762,United Kingdom,England,dead,E37000037,West of England,-2.89,51.36
e8220040-ba2e-41e4-95a1-a129ab9f3def,27104,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-06-17,17,06,2020,,,,,,ST4502762164,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST46,ST46L,ST4562,United Kingdom,England,dead,E37000037,West of England,-2.7908539999999995,51.355875
e760fa4c-92ab-4653-b91f-0a8961add6bf,76993,CC-BY-NC,The Road Lab,Columba,"Linnaeus, 1758",,Pigeon,NHMSYS0000530306,genus,present,2020-06-13,13,06,2020,,,,,,ST4269165670,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,ST,ST46,ST46H,ST4265,United Kingdom,England,dead,E37000037,West of England,-2.8249640000000005,51.387166
dd4797b4-1aac-40e0-8380-45adb1a0be99,59443,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-04-12,12,04,2020,,,,,,ST6588,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST68,ST68P,ST6588,United Kingdom,England,dead,E37000037,West of England,-2.4899999999999998,51.60000000000001
de5fc98f-6e88-4c15-8f70-c4df0bf1b67f,15354,CC-BY-NC,The Road Lab,Pica pica,"(Linnaeus, 1758)",,Magpie,NHMSYS0000530761,species,present,2020-06-23,23,06,2020,,,,,,ST7588978171,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,ST,ST77,ST77P,ST7578,United Kingdom,England,dead,E37000037,West of England,-2.348754,51.501955
ddbea107-e6e7-4106-8078-e80635dc05bc,52859,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-06-26,26,06,2020,,,,,,ST5762,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST56,ST56R,ST5762,United Kingdom,England,dead,E37000037,West of England,-2.6099999999999994,51.36
da6b57b2-d9a1-4811-84b6-fe343d599ca5,52530,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-06-11,11,06,2020,,,,,,ST7634167636,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST76,ST76T,ST7667,United Kingdom,England,dead,E37000037,West of England,-2.341534,51.40725
d9560793-8e4b-46cd-bb3c-58a36072433f,39488,CC-BY-NC,The Road Lab,Mustelidae,"Fischer, 1817",,,NHMSYS0021053566,family,present,2020-06-16,16,06,2020,,,,,,ST5400085800,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,,ST,ST58,ST58M,ST5485,United Kingdom,England,dead,E37000037,West of England,-2.665086,51.569184
d80f9978-0b36-4237-83a2-565eddb8b5b3,83840,CC-BY-NC,The Road Lab,Sciurus carolinensis,"Gmelin, 1788",,Eastern Grey Squirrel,NHMSYS0000332764,species,present,2020-06-12,12,06,2020,,,,,,ST6739489792,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,ST,ST68,ST68U,ST6789,United Kingdom,England,dead,E37000037,West of England,-2.4722169999999997,51.606013
f7b0de55-acf5-435a-85e2-5c7c1eac7e9b,63093,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-07-24,24,07,2020,,,,,,ST5568,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST56,ST56P,ST5568,United Kingdom,England,dead,E37000037,West of England,-2.64,51.42
efff7563-8b58-4c69-8d6a-77a55067837e,8885,CC-BY-NC,The Road Lab,Pica pica,"(Linnaeus, 1758)",,Magpie,NHMSYS0000530761,species,present,2020-07-02,02,07,2020,,,,,,ST7737378281,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,ST,ST77,ST77U,ST7778,United Kingdom,England,dead,E37000037,West of England,-2.327382,51.503006000000006
e9c2f010-9b6f-424d-a7d4-caf79b2c9a0b,63669,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-07-12,12,07,2020,,,,,,ST6202383318,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST68,ST68G,ST6283,United Kingdom,England,dead,E37000037,West of England,-2.549067,51.547468
fba6e3e5-1afe-4833-bfea-c92257c15bf4,70718,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-10-21,21,10,2020,,,,,,ST4164,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST46,ST46C,ST4164,United Kingdom,England,dead,E37000037,West of England,-2.84,51.38
f79e95d7-a7a4-4c4a-9e2e-77e0268ba851,57544,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-01-09,09,01,2020,,,,,,ST6180983724,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST68,ST68B,ST6183,United Kingdom,England,dead,E37000037,West of England,-2.5521970000000005,51.551103
ffb14f88-e1da-4d5d-8179-c0a134fd3dde,27098,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-05-21,21,05,2020,,,,,,ST5064,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST56,ST56C,ST5064,United Kingdom,England,dead,E37000037,West of England,-2.71,51.37
fd002ccd-4521-45df-b36e-c0fea657ca82,57916,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-02-06,06,02,2020,,,,,,ST3756555112,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST35,ST35S,ST3755,United Kingdom,England,dead,E37000037,West of England,-2.8967650000000003,51.291701
e86494fb-12df-45b3-b03c-b74de3b721e8,77824,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-07-22,22,07,2020,,,,,,ST6668,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST66,ST66U,ST6668,United Kingdom,England,dead,E37000037,West of England,-2.49,51.41
fdcb16d3-333a-440c-a67a-616f435b1bf8,38077,CC-BY-NC,The Road Lab,Strix aluco,"Linnaeus, 1758",,Tawny Owl,NHMSYS0000530625,species,present,2020-09-22,22,09,2020,,,,,,ST6560485245,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,ST,ST68,ST68M,ST6585,United Kingdom,England,dead,E37000037,West of England,-2.4976159999999994,51.565024
f19b60b0-e713-4697-8883-c8f28552ee6c,24225,CC-BY-NC,The Road Lab,Meles meles,"(Linnaeus, 1758)",,Eurasian Badger,NHMSYS0000080191,species,present,2020-01-04,04,01,2020,,,,,,ST5572,707.1,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,ST,ST57,ST57L,ST5572,United Kingdom,England,dead,E37000037,West of England,-2.6399999999999997,51.45
fcc0fa9f-ad62-4b89-b759-8888af1d4631,67585,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-08-12,12,08,2020,,,,,,ST4489565938,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST46,ST46M,ST4465,United Kingdom,England,dead,E37000037,West of England,-2.793336,51.38979400000001
fa431a87-d744-4963-bf7a-e9c0ada58ac7,18551,CC-BY-NC,The Road Lab,Vulpes vulpes,"(Linnaeus, 1758)",,Red Fox,NHMSYS0000080188,species,present,2020-02-03,03,02,2020,,,,,,ST5863686530,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,ST,ST58,ST58Y,ST5886,United Kingdom,England,dead,E37000037,West of England,-2.5982880000000006,51.57610700000001
f0c22018-710a-4b4e-b6a3-6ee11ee8d36e,33513,CC-BY-NC,The Road Lab,Columba palumbus,"Linnaeus, 1758",,Woodpigeon,NHMSYS0000530309,species,present,2020-01-07,07,01,2020,,,,,,ST5598857093,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,ST,ST55,ST55N,ST5557,United Kingdom,England,dead,E37000037,West of England,-2.632827,51.311237999999996
f162a806-f85f-43f3-ad4d-07d21b1ac80c,12060,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-12-15,15,12,2020,,,,,,ST6391579615,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST67,ST67J,ST6379,United Kingdom,England,dead,E37000037,West of England,-2.521403,51.514298
f5f2bdd6-8453-455d-aee8-48c245656490,71048,CC-BY-NC,The Road Lab,Erinaceus europaeus,"Linnaeus, 1758",,West European Hedgehog,NBNSYS0000005078,species,present,2020-10-05,05,10,2020,,,,,,ST6593973224,0.7,,The Road Lab,,,,,,,,,Found dead,Accepted - considered correct,HumanObservation,,UK Roadkill Records,dr1628,The Road Lab UK,dp205,Project Splatter,Animalia,Chordata,Mammalia,Insectivora,Erinaceidae,Erinaceus,ST,ST67,ST67L,ST6573,United Kingdom,England,dead,E37000037,West of England,-2.491618,51.456962
